3840	4460
3840	4596
5120	4660
5120	4660
6400	4660
5973	4664
6400	4664
6827	4664
7680	4664
7680	4664
8107	4664
8106	4664
9814	4664
9387	4664
9813	4664
10666	4664
10240	4664
11093	4664
10666	4668
12373	4668
11946	4668
11947	4668
13654	4668
14933	4668
14080	4668
13653	4668
16640	4668
14933	4668
15786	4668
15360	4668
17066	4668
17493	4672
17920	4672
18773	4672
19200	4672
18346	4672
19627	4672
19200	4672
20907	4672
20053	4672
19626	4672
28160	4672
24320	4672
29866	4672
31573	4676
58026	4676
41386	4676
30294	4676
85333	4676
35414	4676
24320	4676
24320	4676
24746	4676
25600	4676
29866	4676
27733	4676
24747	4676
28160	4680
37120	4680
32427	4680
33280	4680
29867	4680
35840	4680
31147	4680
32853	4680
37547	4680
36267	4680
49920	4680
78507	4680
32427	4684
46934	4684
33707	4684
39680	4684
37547	4684
101547	4684
126720	4684
39680	4684
35413	4684
71253	4684
37120	4684
41387	4684
40960	4684
42240	4684
51626	4684
46933	4684
42240	4684
38827	4684
75094	4684
74667	4684
54614	4684
58454	4684
46507	4684
58026	4684
49493	4684
49067	4684
44373	4692
59306	4692
52480	4692
52906	4692
51200	4692
